"DATE","pres_norm","F_id"
2020-08-01,-39,"relation/10713870"
2020-08-02,-46,"relation/10713870"
2020-08-03,-45,"relation/10713870"
2020-08-04,-45,"relation/10713870"
2020-08-05,-44,"relation/10713870"
2020-08-06,-45,"relation/10713870"
2020-08-07,-43,"relation/10713870"
2020-08-08,-41,"relation/10713870"
2020-08-09,-52,"relation/10713870"
2020-08-10,-58,"relation/10713870"
2020-08-11,-46,"relation/10713870"
2020-08-12,-47,"relation/10713870"
2020-08-13,-47,"relation/10713870"
2020-08-14,-44,"relation/10713870"
2020-08-15,-43,"relation/10713870"
2020-08-16,-50,"relation/10713870"
2020-08-17,-48,"relation/10713870"
2020-08-18,-46,"relation/10713870"
2020-08-19,-47,"relation/10713870"
2020-08-20,-47,"relation/10713870"
2020-08-21,-44,"relation/10713870"
2020-08-22,-42,"relation/10713870"
2020-08-23,-49,"relation/10713870"
2020-08-24,-46,"relation/10713870"
2020-08-25,-43,"relation/10713870"
2020-08-26,-42,"relation/10713870"
2020-08-27,-41,"relation/10713870"
2020-08-28,-39,"relation/10713870"
2020-08-29,-37,"relation/10713870"
2020-08-30,-43,"relation/10713870"
2020-08-31,-42,"relation/10713870"
2020-09-01,-41,"relation/10713870"
2020-09-02,-44,"relation/10713870"
2020-09-03,-40,"relation/10713870"
2020-09-04,-37,"relation/10713870"
2020-09-05,-34,"relation/10713870"
2020-09-06,-41,"relation/10713870"
2020-09-07,-39,"relation/10713870"
2020-09-08,-37,"relation/10713870"
2020-09-09,-39,"relation/10713870"
2020-09-10,-39,"relation/10713870"
2020-09-11,-36,"relation/10713870"
2020-09-12,-33,"relation/10713870"
2020-09-13,-43,"relation/10713870"
2020-09-14,-40,"relation/10713870"
2020-09-15,-38,"relation/10713870"
2020-09-16,-39,"relation/10713870"
2020-09-17,-38,"relation/10713870"
